,0to1,0to2,1to0,1to2,1to3,2to0,2to4,3to4,3to5,4to2,4to3,4to5,5to3,,
72,5.104,21.436,0,0,2.724,0,18.294,0,7.278,0,4.532,19.042,0,,
73,4.788,21.438,0,0,2.478,0,18.3,0,6.966,0,4.542,19.108,0,,
74,24.032,2.042,0,0,17.808,0,2.996,0,26.41,0,4.552,0,0,,
75,5.104,21.436,0,0,2.724,0,18.294,0,7.278,0,4.532,19.042,0,,
76,24.032,2.042,0,0,17.808,0,2.996,0,26.41,0,4.552,0,0,,
77,4.942,21.388,0,0,2.57,0,18.288,0,7.116,0,4.536,18.984,0,,
78,4.94,21.494,0,0,2.59,0,18.39,0,9.86,0,4.722,16.444,0,,
79,23.874,2.096,0,0,17.638,0,3.024,0,23.614,0,4.542,2.664,0,,
80,4.944,21.432,0,0,2.576,0,18.294,0,7.122,0,4.536,19.032,0,,
81,24.026,2.152,0,0,17.75,0,3.114,0,26.508,0,4.722,0,0,,
82,4.942,21.388,0,0,2.57,0,18.288,0,7.116,0,4.536,18.984,0,,
83,4.946,21.384,0,0,2.648,0,18.272,0,9.762,0,4.552,16.444,0,,
84,23.876,2.092,0,0,17.622,0,3.018,0,23.594,0,4.528,2.598,0,,
85,5.104,21.436,0,0,2.724,0,18.294,0,7.278,0,4.532,19.042,0,,
86,4.946,21.384,0,0,2.648,0,18.272,0,9.762,0,4.552,16.444,0,,
87,23.876,2.092,0,0,17.622,0,3.018,0,23.594,0,4.528,2.598,0,,
88,5.104,21.436,0,0,2.724,0,18.294,0,7.278,0,4.532,19.042,0,,
89,24.032,2.042,0,0,17.808,0,2.996,0,26.41,0,4.552,0,0,,
90,4.944,21.432,0,0,2.576,0,18.294,0,7.122,0,4.536,19.032,0,,
91,4.94,21.494,0,0,2.59,0,18.39,0,9.86,0,4.722,16.444,0,,
92,23.874,2.096,0,0,17.638,0,3.024,0,23.614,0,4.542,2.664,0,,
93,4.944,21.432,0,0,2.576,0,18.294,0,7.122,0,4.536,19.032,0,,
94,24.026,2.152,0,0,17.75,0,3.114,0,26.508,0,4.722,0,0,,
95,4.942,21.388,0,0,2.57,0,18.288,0,7.116,0,4.536,18.984,0,,
96,4.946,21.384,0,0,2.648,0,18.272,0,9.762,0,4.552,16.444,0,,
97,24.03,2.048,0,0,17.736,0,3.014,0,23.752,0,4.536,2.58,0,,
98,4.942,21.388,0,0,2.57,0,18.288,0,7.116,0,4.536,18.984,0,,
99,24.032,2.042,0,0,17.808,0,2.996,0,26.41,0,4.552,0,0,,
100,5.104,21.436,0,0,2.724,0,18.294,0,7.278,0,4.532,19.042,0,,
101,4.946,21.384,0,0,2.648,0,18.272,0,9.762,0,4.552,16.444,0,,
102,23.874,2.096,0,0,17.638,0,3.024,0,23.614,0,4.542,2.664,0,,
103,5.104,21.436,0,0,2.724,0,18.294,0,7.278,0,4.532,19.042,0,,
104,24.032,2.042,0,0,17.808,0,2.996,0,26.41,0,4.552,0,0,,
105,4.942,21.388,0,0,2.57,0,18.288,0,7.116,0,4.536,18.984,0,,
106,4.946,21.384,0,0,2.648,0,18.272,0,9.762,0,4.552,16.444,0,,
107,24.03,2.048,0,0,17.736,0,3.014,0,23.752,0,4.536,2.58,0,,
108,4.944,21.432,0,0,2.576,0,18.294,0,7.122,0,4.536,19.032,0,,
109,4.946,21.384,0,0,2.648,0,18.272,0,9.762,0,4.552,16.444,0,,
110,24.03,2.048,0,0,17.736,0,3.014,0,23.752,0,4.536,2.58,0,,
111,4.944,21.432,0,0,2.576,0,18.294,0,7.122,0,4.536,19.032,0,,
112,24.032,2.042,0,0,17.808,0,2.996,0,26.41,0,4.552,0,0,,
113,5.104,21.436,0,0,2.724,0,18.294,0,7.278,0,4.532,19.042,0,,
114,4.788,21.438,0,0,2.478,0,18.3,0,6.966,0,4.542,19.108,0,,
115,24.032,2.042,0,0,17.808,0,2.996,0,26.41,0,4.552,0,0,,
116,5.104,21.436,0,0,2.724,0,18.294,0,7.278,0,4.532,19.042,0,,
117,24.032,2.042,0,0,17.808,0,2.996,0,26.41,0,4.552,0,0,,
118,4.942,21.388,0,0,2.57,0,18.288,0,7.116,0,4.536,18.984,0,,
119,4.94,21.494,0,0,2.59,0,18.39,0,9.86,0,4.722,16.444,0,,
120,23.874,2.096,0,0,17.638,0,3.024,0,23.614,0,4.542,2.664,0,,
121,4.944,21.432,0,0,2.576,0,18.294,0,7.122,0,4.536,19.032,0,,
122,24.026,2.152,0,0,17.75,0,3.114,0,26.508,0,4.722,0,0,,
123,4.942,21.388,0,0,2.57,0,18.288,0,7.116,0,4.536,18.984,0,,
124,4.946,21.384,0,0,2.648,0,18.272,0,9.762,0,4.552,16.444,0,,
125,24.03,2.048,0,0,17.736,0,3.014,0,23.752,0,4.536,2.58,0,,
126,4.942,21.388,0,0,2.57,0,18.288,0,7.116,0,4.536,18.984,0,,
127,24.032,2.042,0,0,17.808,0,2.996,0,26.41,0,4.552,0,0,,
128,5.104,21.436,0,0,2.724,0,18.294,0,7.278,0,4.532,19.042,0,,
129,4.946,21.384,0,0,2.648,0,18.272,0,9.762,0,4.552,16.444,0,,
130,23.874,2.096,0,0,17.638,0,3.024,0,23.614,0,4.542,2.664,0,,
131,4.942,21.492,0,0,2.6,0,18.38,0,9.916,0,4.71,16.444,0,,
132,23.874,2.096,0,0,17.638,0,3.024,0,23.614,0,4.542,2.664,0,,
133,4.944,21.432,0,0,2.576,0,18.294,0,7.122,0,4.536,19.032,0,,
134,4.94,21.494,0,0,2.59,0,18.39,0,9.86,0,4.722,16.444,0,,
135,23.874,2.096,0,0,17.638,0,3.024,0,23.614,0,4.542,2.664,0,,
136,5.1,21.342,0,0,2.726,0,18.25,0,9.894,0,4.516,16.444,0,,
137,4.944,21.382,0,0,2.57,0,18.298,0,7.118,0,4.546,18.998,0,,
138,23.874,2.04,0,0,17.672,0,2.992,0,26.27,0,4.528,0,0,,
139,4.942,21.388,0,0,2.57,0,18.288,0,7.116,0,4.536,18.984,0,,
