44_3, 76512.00, 233.90
44_4, 76452.00, 234.21
44_5, 76360.00, 235.62
45_1, 76421.00, 230.76
45_2, 76512.00, 236.16
45_3, 76513.00, 233.52
45_4, 76419.00, 233.50
46_1, 76453.00, 232.15
46_2, 76364.00, 235.36
47_1, 76419.00, 235.60
47_2, 76364.00, 235.22
47_3, 76354.00, 233.51
47_4, 76354.00, 233.11
48_1, 76449.00, 235.58
48_2, 76422.00, 237.71
48_3, 76419.00, 236.19
48_4, 76362.00, 237.54
49_1, 76512.00, 234.94
49_2, 76420.00, 237.96
5_1, 76355.00, 233.56
5_2, 76421.00, 231.68
5_3, 76363.00, 237.82
5_4, 76419.00, 232.08
5_5, 76419.00, 232.27
5_6, 76377.00, 234.54
5_7, 76353.00, 233.35
5_8, 76512.00, 237.65
5_9, 76364.00, 233.06
50_1, 76512.00, 234.62
50_2, 76512.00, 233.48
50_3, 76378.00, 235.68
51_1, 76352.00, 234.05
51_2, 76452.00, 234.52
51_3, 76513.00, 236.57
51_4, 76354.00, 234.45
52_1, 76356.00, 236.14
52_2, 76452.00, 235.77
53_1, 76377.00, 233.57
53_2, 76512.00, 234.04
53_3, 76513.00, 234.80
54_1, 76351.00, 231.50
54_2, 76352.00, 235.03
54_3, 76377.00, 233.36
54_4, 76355.00, 234.91
55_1, 76422.00, 236.46
55_2, 76377.00, 236.02
55_3, 76363.00, 240.53
56_1, 76450.00, 233.13
56_2, 76420.00, 232.07
56_3, 76376.00, 231.59
56_4, 76461.00, 234.39
56_5, 76453.00, 233.22
56_6, 76408.00, 235.22
56_7, 76512.00, 235.96
56_8, 76353.00, 233.89
57_1, 76422.00, 233.20
57_2, 76353.00, 233.80
57_3, 76378.00, 233.37
57_4, 76420.00, 234.53
58_1, 76453.00, 235.33
58_2, 76355.00, 236.09
58_3, 76420.00, 236.05
59_1, 76512.00, 233.60
59_2, 76377.00, 235.00
59_3, 76513.00, 239.66
59_4, 76513.00, 238.34
6_1, 76353.00, 235.15
6_2, 76512.00, 237.28
6_3, 76421.00, 235.42
60_1, 76419.00, 233.35
60_2, 76354.00, 234.72
60_3, 76455.00, 235.95
60_4, 76362.00, 234.33
60_5, 76420.00, 232.12
60_6, 76376.00, 232.88
60_7, 76453.00, 233.48
60_8, 76452.00, 235.09
61_1, 76353.00, 234.89
61_2, 76512.00, 233.63
61_3, 76377.00, 236.63
61_4, 76377.00, 237.18
62_1, 76409.00, 234.30
62_2, 76352.00, 234.36
62_3, 76421.00, 233.87
62_4, 76354.00, 234.73
63_1, 76362.00, 234.81
63_2, 76461.00, 236.86
63_3, 76422.00, 236.87
63_4, 76362.00, 234.44
64_1, 76453.00, 234.50
64_2, 76363.00, 235.02
64_3, 76513.00, 233.00
64_4, 76420.00, 230.57
65_1, 76512.00, 232.49
65_2, 76377.00, 235.68
66_1, 76364.00, 234.80
66_2, 76512.00, 235.35
66_3, 76421.00, 234.81
66_4, 76377.00, 232.12
66_5, 76360.00, 236.13
67_1, 76512.00, 230.77
67_2, 76419.00, 234.90
68_1, 76512.00, 235.33
68_2, 76388.00, 234.18
68_3, 76377.00, 233.62
68_4, 76421.00, 236.49
69_1, 76377.00, 234.04
69_2, 76364.00, 234.18
7_1, 76377.00, 237.95
7_2, 76462.00, 234.76
7_3, 76421.00, 234.88
7_4, 76362.00, 234.90
7_5, 76419.00, 236.50
7_6, 76377.00, 234.21
7_7, 76513.00, 235.92
70_1, 76364.00, 233.66
70_2, 76452.00, 234.78
70_3, 76353.00, 234.83
70_4, 76512.00, 233.92
70_5, 76353.00, 231.88
71_1, 76421.00, 233.07
71_2, 76513.00, 233.46
72_1, 76422.00, 232.39
72_2, 76512.00, 233.39
72_3, 76352.00, 234.89
72_4, 76512.00, 234.67
72_5, 76421.00, 233.52
73_1, 76420.00, 231.43
73_2, 76364.00, 233.06
74_1, 76513.00, 239.25
74_2, 76453.00, 237.17
74_3, 76421.00, 234.78
74_4, 76377.00, 236.69
75_1, 76377.00, 233.67
75_2, 76421.00, 233.09
75_3, 76420.00, 235.05
75_4, 76452.00, 233.79
75_5, 76354.00, 235.11
76_1, 76363.00, 233.83
76_2, 76462.00, 235.40
8_1, 76423.00, 233.57
8_2, 76512.00, 236.58
8_3, 76452.00, 239.83
9_1, 76512.00, 236.21
9_2, 76512.00, 233.28
9_3, 76512.00, 234.62
9_4, 76377.00, 233.99
9_5, 76461.00, 233.18
