Iteration,0to1,0to2,1to0,1to2,1to3,2to0,2to4,3to4,3to5,4to2,4to3,4to5,5to3
59,127.8,135.59,73.54,88.29,82.02,73.54,85.16,88.53,126.24,59.19,93.18,115.33,73.8
60,127.81,135.58,73.54,88.29,82.02,73.54,85.15,88.53,126.25,59.19,93.18,115.32,73.8
61,127.8,135.59,73.54,88.29,82.02,73.54,85.15,88.53,126.25,59.19,93.18,115.33,73.8
62,127.81,135.58,73.54,88.29,82.02,73.54,85.15,88.53,126.26,59.19,93.18,115.32,73.8
63,127.8,135.59,73.54,88.29,82.02,73.54,85.15,88.53,126.25,59.19,93.18,115.33,73.8
64,127.81,135.58,73.54,88.29,82.02,73.54,85.15,88.53,126.26,59.19,93.18,115.32,73.8
65,127.8,135.59,73.54,88.29,82.02,73.54,85.15,88.53,126.25,59.19,93.18,115.33,73.8
66,127.81,135.58,73.54,88.29,82.02,73.54,85.15,88.53,126.26,59.19,93.18,115.32,73.8
67,127.8,135.59,73.54,88.29,82.02,73.54,85.15,88.53,126.26,59.19,93.18,115.32,73.8
68,127.79,135.6,73.54,88.29,82.02,73.54,85.15,88.53,126.26,59.19,93.18,115.33,73.8
69,127.8,135.59,73.54,88.29,82.02,73.54,85.15,88.53,126.27,59.19,93.18,115.32,73.8
70,127.79,135.6,73.54,88.29,82.02,73.54,85.15,88.53,126.27,59.19,93.18,115.33,73.8
71,127.8,135.59,73.54,88.29,82.02,73.54,85.15,88.53,126.28,59.19,93.18,115.32,73.8
72,127.79,135.6,73.54,88.29,82.02,73.54,85.15,88.53,126.28,59.19,93.18,115.32,73.8
73,127.78,135.61,73.54,88.29,82.02,73.54,85.15,88.53,126.28,59.19,93.18,115.33,73.8
74,127.79,135.6,73.54,88.29,82.02,73.54,85.15,88.53,126.29,59.19,93.18,115.32,73.8
75,127.78,135.61,73.54,88.29,82.02,73.54,85.15,88.53,126.29,59.19,93.18,115.32,73.8
76,127.77,135.62,73.54,88.29,82.02,73.54,85.15,88.53,126.29,59.19,93.18,115.33,73.8
77,127.78,135.61,73.54,88.29,82.02,73.54,85.15,88.53,126.3,59.19,93.18,115.32,73.8
78,127.77,135.62,73.54,88.29,82.02,73.54,85.15,88.53,126.3,59.19,93.18,115.32,73.8
79,127.78,135.61,73.54,88.29,82.02,73.54,85.15,88.53,126.31,59.19,93.18,115.31,73.8
80,127.77,135.62,73.54,88.29,82.02,73.54,85.15,88.53,126.31,59.19,93.18,115.31,73.8
81,127.76,135.63,73.54,88.29,82.02,73.54,85.15,88.53,126.31,59.19,93.18,115.31,73.8
82,127.77,135.62,73.54,88.29,82.02,73.54,85.15,88.53,126.32,59.19,93.18,115.31,73.8
83,127.77,135.63,73.54,88.29,82.02,73.54,85.15,88.53,126.32,59.19,93.18,115.31,73.8
84,127.77,135.64,73.54,88.29,82.02,73.54,85.15,88.53,126.32,59.19,93.18,115.31,73.8
85,127.77,135.64,73.54,88.29,82.02,73.54,85.15,88.53,126.32,59.19,93.18,115.31,73.8
86,127.77,135.64,73.54,88.29,82.02,73.54,85.15,88.53,126.32,59.19,93.18,115.31,73.8
87,127.77,135.64,73.54,88.29,82.02,73.54,85.15,88.53,126.32,59.19,93.18,115.31,73.8
88,127.77,135.64,73.54,88.29,82.02,73.54,85.15,88.53,126.32,59.19,93.18,115.31,73.8
89,127.77,135.64,73.54,88.29,82.02,73.54,85.15,88.53,126.32,59.19,93.18,115.31,73.8
90,127.77,135.64,73.54,88.29,82.02,73.54,85.15,88.53,126.32,59.19,93.18,115.31,73.8
91,127.77,135.64,73.54,88.29,82.02,73.54,85.15,88.53,126.32,59.19,93.18,115.31,73.8
92,127.77,135.64,73.54,88.29,82.02,73.54,85.15,88.53,126.32,59.19,93.18,115.31,73.8
93,127.77,135.64,73.54,88.29,82.02,73.54,85.15,88.53,126.32,59.19,93.18,115.31,73.8
94,127.77,135.64,73.54,88.29,82.02,73.54,85.15,88.53,126.32,59.19,93.18,115.31,73.8
