interval_begin,interval_end,interval_id,edge_CO2_abs,edge_CO2_normed,edge_CO2_perVeh,edge_CO_abs,edge_CO_normed,edge_CO_perVeh,edge_HC_abs,edge_HC_normed,edge_HC_perVeh,edge_NOx_abs,edge_NOx_normed,edge_NOx_perVeh,edge_PMx_abs,edge_PMx_normed,edge_PMx_perVeh,edge_electricity_abs,edge_electricity_normed,edge_electricity_perVeh,edge_fuel_abs,edge_fuel_normed,edge_fuel_perVeh,edge_id,edge_sampledSeconds,edge_traveltime
10.00,11.00,em1,6276.167909,22911.064493,603033.408071,101.517181,370.587072,9754.081260,2.128600,7.770427,204.522441,13.957348,50.951107,1341.064681,0.862322,3.147895,82.854537,0,0,0,2.502211,9.134286,240.420069,0to2,1.00,96.08
11.00,12.00,em1,1505.773978,54207863.200414,79.569850,19.344683,696408.576846,1.022234,0.607992,21887.729765,0.032128,2.849396,102578.240548,0.150571,0.142711,5137.598228,0.007541,0,0,0,0.600329,21611.828446,0.031723,-1to0,1.00,0.05
11.00,12.00,em1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0to1,2.00,80.41
11.00,12.00,em1,8055.503818,29406.505720,469754.806104,108.400148,395.713248,6321.329094,2.596455,9.478324,151.411666,16.874949,61.601770,984.058694,0.924550,3.375058,53.914937,0,0,0,3.211605,11.723919,187.283978,0to2,1.93,112.75
12.00,13.00,em1,2352.068903,84674480.509742,75.687454,37.115345,1336152.416755,1.194338,0.860153,30965.491740,0.027679,5.056419,182031.079163,0.162711,0.309582,11144.939949,0.009962,0,0,0,0.937733,33758.393222,0.030175,-1to0,0.73,0.02
12.00,13.00,em1,8040.803645,29352.842938,299567.889309,77.277823,282.101630,2879.059790,2.179808,7.957357,81.210831,15.835268,57.806427,589.958166,0.714666,2.608879,26.625576,0,0,0,3.205746,11.702533,119.433168,0to1,2.00,74.51
12.00,13.00,em1,8290.689634,30265.048302,404832.152064,101.601448,370.894687,4961.171469,2.544560,9.288882,124.250195,17.018185,62.124649,830.993397,0.875106,3.194564,42.731215,0,0,0,3.305370,12.066209,161.400349,0to2,2.00,97.66
13.00,14.00,em1,5865.682953,21412.594819,187548.720082,62.450391,227.974293,1996.782141,1.665874,6.081249,53.264467,11.864011,43.309410,379.338634,0.663907,2.423585,21.227706,0,0,0,2.338558,8.536874,74.772807,0to1,2.79,89.20
13.00,14.00,em1,5684.150019,20749.911343,256345.802916,90.194410,329.253450,4067.619307,1.927695,7.037025,86.935884,12.543176,45.788690,565.676557,0.767931,2.803323,34.632437,0,0,0,2.266182,8.272667,102.201092,0to2,2.00,90.20
14.00,15.00,em1,2071.808900,74585120.400711,86.990029,31.072554,1118611.931196,1.304658,0.812400,29246.402448,0.034111,4.241190,152682.838591,0.178077,0.245538,8839.364822,0.010310,0,0,0,0.825998,29735.922105,0.034682,-1to0,1.00,0.04
14.00,15.00,em1,7598.087558,27736.713963,219185.296391,81.639745,298.024764,2355.096799,2.214196,8.082891,63.873856,15.173025,55.388920,437.702781,0.728517,2.659440,21.015832,0,0,0,3.029241,11.058202,87.385816,0to1,3.00,86.54
14.00,15.00,em1,10438.444313,38105.397170,416354.399416,142.346485,519.633883,5677.722032,3.236983,11.816560,129.112336,22.301536,81.411449,889.533180,1.276539,4.659989,50.916854,0,0,0,4.161647,15.192037,165.994105,0to2,2.00,79.77
15.00,16.00,em1,1476.205112,53143384.029238,56.379482,18.361428,661011.417648,0.701263,0.520100,18723.607957,0.019864,2.916824,105005.662263,0.111400,0.150725,5426.114568,0.005757,0,0,0,0.588540,21187.438337,0.022478,-1to0,0.65,0.02
